2017/11/20 10:30:06 cfg.go:88: read config file: /usr/local/open-falcon/open-falcon/aggregator/config/cfg.json successfully
2017/11/20 10:30:06 http.go:74: http listening 0.0.0.0:6055
2017/11/20 10:30:06 reader.go:46: SELECT `id`, `grp_id`, `numerator`, `denominator`, `endpoint`, `metric`, `tags`, `ds_type`, `step`, `last_update` FROM `cluster` WHERE `id` >= 1
2017/11/20 10:31:01 reader.go:46: SELECT `id`, `grp_id`, `numerator`, `denominator`, `endpoint`, `metric`, `tags`, `ds_type`, `step`, `last_update` FROM `cluster` WHERE `id` >= 1
2017/11/20 10:31:56 reader.go:46: SELECT `id`, `grp_id`, `numerator`, `denominator`, `endpoint`, `metric`, `tags`, `ds_type`, `step`, `last_update` FROM `cluster` WHERE `id` >= 1
2017/11/20 10:32:51 reader.go:46: SELECT `id`, `grp_id`, `numerator`, `denominator`, `endpoint`, `metric`, `tags`, `ds_type`, `step`, `last_update` FROM `cluster` WHERE `id` >= 1
2017/11/20 10:33:46 reader.go:46: SELECT `id`, `grp_id`, `numerator`, `denominator`, `endpoint`, `metric`, `tags`, `ds_type`, `step`, `last_update` FROM `cluster` WHERE `id` >= 1
2017/11/20 10:34:41 reader.go:46: SELECT `id`, `grp_id`, `numerator`, `denominator`, `endpoint`, `metric`, `tags`, `ds_type`, `step`, `last_update` FROM `cluster` WHERE `id` >= 1
2017/11/20 10:35:36 reader.go:46: SELECT `id`, `grp_id`, `numerator`, `denominator`, `endpoint`, `metric`, `tags`, `ds_type`, `step`, `last_update` FROM `cluster` WHERE `id` >= 1
2017/11/20 10:36:31 reader.go:46: SELECT `id`, `grp_id`, `numerator`, `denominator`, `endpoint`, `metric`, `tags`, `ds_type`, `step`, `last_update` FROM `cluster` WHERE `id` >= 1
2017/11/20 10:37:26 reader.go:46: SELECT `id`, `grp_id`, `numerator`, `denominator`, `endpoint`, `metric`, `tags`, `ds_type`, `step`, `last_update` FROM `cluster` WHERE `id` >= 1
2017/11/20 10:38:21 reader.go:46: SELECT `id`, `grp_id`, `numerator`, `denominator`, `endpoint`, `metric`, `tags`, `ds_type`, `step`, `last_update` FROM `cluster` WHERE `id` >= 1
2017/11/20 10:39:16 reader.go:46: SELECT `id`, `grp_id`, `numerator`, `denominator`, `endpoint`, `metric`, `tags`, `ds_type`, `step`, `last_update` FROM `cluster` WHERE `id` >= 1
2017/11/20 10:40:11 reader.go:46: SELECT `id`, `grp_id`, `numerator`, `denominator`, `endpoint`, `metric`, `tags`, `ds_type`, `step`, `last_update` FROM `cluster` WHERE `id` >= 1
2017/11/20 10:41:06 reader.go:46: SELECT `id`, `grp_id`, `numerator`, `denominator`, `endpoint`, `metric`, `tags`, `ds_type`, `step`, `last_update` FROM `cluster` WHERE `id` >= 1
2017/11/20 10:42:01 reader.go:46: SELECT `id`, `grp_id`, `numerator`, `denominator`, `endpoint`, `metric`, `tags`, `ds_type`, `step`, `last_update` FROM `cluster` WHERE `id` >= 1
2017/11/20 10:42:56 reader.go:46: SELECT `id`, `grp_id`, `numerator`, `denominator`, `endpoint`, `metric`, `tags`, `ds_type`, `step`, `last_update` FROM `cluster` WHERE `id` >= 1
2017/11/20 10:43:51 reader.go:46: SELECT `id`, `grp_id`, `numerator`, `denominator`, `endpoint`, `metric`, `tags`, `ds_type`, `step`, `last_update` FROM `cluster` WHERE `id` >= 1
2017/11/20 10:44:46 reader.go:46: SELECT `id`, `grp_id`, `numerator`, `denominator`, `endpoint`, `metric`, `tags`, `ds_type`, `step`, `last_update` FROM `cluster` WHERE `id` >= 1
2017/11/20 10:45:41 reader.go:46: SELECT `id`, `grp_id`, `numerator`, `denominator`, `endpoint`, `metric`, `tags`, `ds_type`, `step`, `last_update` FROM `cluster` WHERE `id` >= 1
2017/11/20 10:46:36 reader.go:46: SELECT `id`, `grp_id`, `numerator`, `denominator`, `endpoint`, `metric`, `tags`, `ds_type`, `step`, `last_update` FROM `cluster` WHERE `id` >= 1
2017/11/20 10:47:31 reader.go:46: SELECT `id`, `grp_id`, `numerator`, `denominator`, `endpoint`, `metric`, `tags`, `ds_type`, `step`, `last_update` FROM `cluster` WHERE `id` >= 1
2017/11/20 10:48:26 reader.go:46: SELECT `id`, `grp_id`, `numerator`, `denominator`, `endpoint`, `metric`, `tags`, `ds_type`, `step`, `last_update` FROM `cluster` WHERE `id` >= 1
2017/11/20 10:49:21 reader.go:46: SELECT `id`, `grp_id`, `numerator`, `denominator`, `endpoint`, `metric`, `tags`, `ds_type`, `step`, `last_update` FROM `cluster` WHERE `id` >= 1
2017/11/20 10:50:16 reader.go:46: SELECT `id`, `grp_id`, `numerator`, `denominator`, `endpoint`, `metric`, `tags`, `ds_type`, `step`, `last_update` FROM `cluster` WHERE `id` >= 1
2017/11/20 10:51:11 reader.go:46: SELECT `id`, `grp_id`, `numerator`, `denominator`, `endpoint`, `metric`, `tags`, `ds_type`, `step`, `last_update` FROM `cluster` WHERE `id` >= 1
2017/11/20 10:52:06 reader.go:46: SELECT `id`, `grp_id`, `numerator`, `denominator`, `endpoint`, `metric`, `tags`, `ds_type`, `step`, `last_update` FROM `cluster` WHERE `id` >= 1
2017/11/20 10:53:01 reader.go:46: SELECT `id`, `grp_id`, `numerator`, `denominator`, `endpoint`, `metric`, `tags`, `ds_type`, `step`, `last_update` FROM `cluster` WHERE `id` >= 1
2017/11/20 10:53:56 reader.go:46: SELECT `id`, `grp_id`, `numerator`, `denominator`, `endpoint`, `metric`, `tags`, `ds_type`, `step`, `last_update` FROM `cluster` WHERE `id` >= 1
2017/11/20 10:54:51 reader.go:46: SELECT `id`, `grp_id`, `numerator`, `denominator`, `endpoint`, `metric`, `tags`, `ds_type`, `step`, `last_update` FROM `cluster` WHERE `id` >= 1
2017/11/20 10:55:46 reader.go:46: SELECT `id`, `grp_id`, `numerator`, `denominator`, `endpoint`, `metric`, `tags`, `ds_type`, `step`, `last_update` FROM `cluster` WHERE `id` >= 1
2017/11/20 10:56:41 reader.go:46: SELECT `id`, `grp_id`, `numerator`, `denominator`, `endpoint`, `metric`, `tags`, `ds_type`, `step`, `last_update` FROM `cluster` WHERE `id` >= 1
2017/11/20 10:57:36 reader.go:46: SELECT `id`, `grp_id`, `numerator`, `denominator`, `endpoint`, `metric`, `tags`, `ds_type`, `step`, `last_update` FROM `cluster` WHERE `id` >= 1
2017/11/20 10:58:31 reader.go:46: SELECT `id`, `grp_id`, `numerator`, `denominator`, `endpoint`, `metric`, `tags`, `ds_type`, `step`, `last_update` FROM `cluster` WHERE `id` >= 1
2017/11/20 10:59:26 reader.go:46: SELECT `id`, `grp_id`, `numerator`, `denominator`, `endpoint`, `metric`, `tags`, `ds_type`, `step`, `last_update` FROM `cluster` WHERE `id` >= 1

2017/11/20 10:59:43 cfg.go:88: read config file: /usr/local/open-falcon/open-falcon/aggregator/config/cfg.json successfully
2017/11/20 10:59:43 http.go:74: http listening 0.0.0.0:6055
2017/11/20 10:59:43 reader.go:46: SELECT `id`, `grp_id`, `numerator`, `denominator`, `endpoint`, `metric`, `tags`, `ds_type`, `step`, `last_update` FROM `cluster` WHERE `id` >= 1
2017/11/20 11:00:38 reader.go:46: SELECT `id`, `grp_id`, `numerator`, `denominator`, `endpoint`, `metric`, `tags`, `ds_type`, `step`, `last_update` FROM `cluster` WHERE `id` >= 1
2017/11/20 11:01:33 reader.go:46: SELECT `id`, `grp_id`, `numerator`, `denominator`, `endpoint`, `metric`, `tags`, `ds_type`, `step`, `last_update` FROM `cluster` WHERE `id` >= 1
